Framework 1,Framework 2,Similarity
TCFD,TNFD,0.5412451070215967
TCFD,PRA,0.23524054884910583
TCFD,IFRS,0.2499701088788558
TCFD,TPT,0.1371060654404573
TCFD,BMA,0.19514061798426238
TCFD,MAS,0.2784103788435459
TCFD,ESRS,0.22352854932586735
TNFD,PRA,0.22991521190851927
TNFD,IFRS,0.2356046777585465
TNFD,TPT,0.17511612896553494
TNFD,BMA,0.20086695002674154
TNFD,MAS,0.2799379726250966
TNFD,ESRS,0.22130336065976217
PRA,IFRS,0.2953542077292999
PRA,TPT,0.23302435825268428
PRA,BMA,0.0
PRA,MAS,0.3168241490920385
PRA,ESRS,0.20522863380178885
IFRS,TPT,0.2874849606305361
IFRS,BMA,0.24816494265740568
IFRS,MAS,0.3169849095866084
IFRS,ESRS,0.23100343374125126
TPT,BMA,0.21122716888785362
TPT,MAS,0.1905254645156674
TPT,ESRS,0.2575311665149296
BMA,MAS,0.4620742628520185
BMA,ESRS,0.338406809351661
MAS,ESRS,0.18635446276463005
