Framework 1,Framework 2,Similarity
TCFD,TNFD,0.7013311435778936
TCFD,PRA,0.28567801967815115
TCFD,IFRS,0.35027621189753216
TCFD,BMA,0.24609268820948071
TCFD,MAS,0.2287333785659737
TCFD,ESRS,0.15295727507866644
TCFD,OSFI,0.3247647186120351
TNFD,PRA,0.27286529499623513
TNFD,IFRS,0.354150103405118
TNFD,BMA,0.22363299209003648
TNFD,MAS,0.2024521630567809
TNFD,ESRS,0.19946823917174092
TNFD,OSFI,0.24105612933635712
PRA,IFRS,0.30999184110098416
PRA,BMA,0.4032735864873286
PRA,MAS,0.38699578797375717
PRA,ESRS,0.25300263944599366
PRA,OSFI,0.30415812300311196
IFRS,BMA,0.27366448783626157
IFRS,MAS,0.22774422463650504
IFRS,ESRS,0.21439658903626777
IFRS,OSFI,0.1850498542189598
BMA,MAS,0.4454070949306091
BMA,ESRS,0.22271955354846323
BMA,OSFI,0.2585968737800916
MAS,ESRS,0.23263172574634491
MAS,OSFI,0.31769876678784686
ESRS,OSFI,0.1823627275104324
