"Framework","Reference1","Recommendation1","Reference2","Recommendation2","Similarity"
"TNFD","TNFD Governance A","Describe the board’s oversight of naturerelated dependencies, impacts, risks and opportunities.","TCFD Governance A","Describe the board’s oversight of climate-related risks and opportunities.",0.836281893874005
"TNFD","TNFD Governance B","Describe management’s role in assessing and managing nature-related dependencies, impacts, risks and opportunities.","TCFD Governance B","Describe management’s role in assessing and managing climate-related risks and opportunities.",0.871944306674889
"TNFD","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.","TCFD Governance B","Describe management’s role in assessing and managing climate-related risks and opportunities.",0.364964169286971
"TCFD","TCFD Strategy A","Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term.","TCFD Strategy A","Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term.",1
"TCFD","TCFD Metrics and Targets C","Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.","TCFD Strategy A","Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term.",0.356404114990304
"TNFD","TNFD Strategy A","Describe the nature-related dependencies, impacts, risks and opportunities the organisation has identified over the short, medium and long term.","TCFD Strategy A","Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term.",0.712237928738278
"TCFD","TCFD Strategy B","Describe the impact of climate-related risks and opportunities on the organization’s businesses, strategy, and financial planning.","TCFD Strategy B","Describe the impact of climate-related risks and opportunities on the organization’s businesses, strategy, and financial planning.",1
"TCFD","TCFD Risk Management B","Describe the organization’s processes for managing climate-related risks.","TCFD Strategy B","Describe the impact of climate-related risks and opportunities on the organization’s businesses, strategy, and financial planning.",0.377762386959445
"TNFD","TNFD Strategy C","Describe the resilience of the organisation’s strategy to nature-related risks and opportunities, taking into consideration different scenarios.","TCFD Strategy C","Describe the resilience of the organization’s strategy, taking into consideration different climaterelated scenarios, including a 2°C or lower scenario.",0.559609122323302
"TCFD","TCFD Risk Management B","Describe the organization’s processes for managing climate-related risks.","TCFD Risk Management A","Describe the organization’s processes for identifying and assessing climate-related risks.",0.649043822418141
"TCFD","TCFD Risk Management C","Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organization’s overall risk management.","TCFD Risk Management A","Describe the organization’s processes for identifying and assessing climate-related risks.",0.635667048701452
"TNFD","TNFD Risk Management A(i)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its direct operations.","TCFD Risk Management A","Describe the organization’s processes for identifying and assessing climate-related risks.",0.409355555880277
"TNFD","TNFD Risk Management A(ii)","Describe the organisation’s processes for identifying, assessing and prioritising nature-related dependencies, impacts, risks and opportunities in its upstream and downstream value chain(s).","TCFD Risk Management A","Describe the organization’s processes for identifying and assessing climate-related risks.",0.40017585108792
"TNFD","TNFD Risk Management C","Describe how processes for identifying, assessing, prioritising and monitoring naturerelated risks are integrated into and inform the organisation’s overall risk management processes.","TCFD Risk Management A","Describe the organization’s processes for identifying and assessing climate-related risks.",0.424214922689332
"TCFD","TCFD Strategy B","Describe the impact of climate-related risks and opportunities on the organization’s businesses, strategy, and financial planning.","TCFD Risk Management B","Describe the organization’s processes for managing climate-related risks.",0.377762386959445
"TCFD","TCFD Risk Management A","Describe the organization’s processes for identifying and assessing climate-related risks.","TCFD Risk Management B","Describe the organization’s processes for managing climate-related risks.",0.649043822418141
"TCFD","TCFD Risk Management C","Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organization’s overall risk management.","TCFD Risk Management B","Describe the organization’s processes for managing climate-related risks.",0.549227355083287
"TNFD","TNFD Risk Management B","Describe the organisation’s processes for managing nature-related dependencies, impacts, risks and opportunities.","TCFD Risk Management B","Describe the organization’s processes for managing climate-related risks.",0.422655417813687
"TCFD","TCFD Risk Management A","Describe the organization’s processes for identifying and assessing climate-related risks.","TCFD Risk Management C","Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organization’s overall risk management.",0.635667048701452
"TCFD","TCFD Risk Management B","Describe the organization’s processes for managing climate-related risks.","TCFD Risk Management C","Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organization’s overall risk management.",0.549227355083287
"TNFD","TNFD Risk Management C","Describe how processes for identifying, assessing, prioritising and monitoring naturerelated risks are integrated into and inform the organisation’s overall risk management processes.","TCFD Risk Management C","Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organization’s overall risk management.",0.478922733687955
"TCFD","TCFD Metrics and Targets C","Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets.","TCFD Metrics and Targets A","Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process.",0.394959601579367
"TNFD","TNFD Metrics and Targets A","Disclose the metrics used by the organisation to assess and manage material nature-related risks and opportunities in line with its strategy and risk management process.","TCFD Metrics and Targets A","Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process.",0.674838912355964
